LineId,Logrecord,Date,Time,Pid,Level,Component,ADDR,Content,EventId,EventTemplate
18,nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:40:26.727,2931,INFO,nova.compute.manager,-,[instance: 3416d0fa-6f0f-41ce-9c0a-59ae9a735da8] VM Stopped (Lifecycle Event),E0,<*> VM <*> (Lifecycle Event)
19,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:40:26.755,25746,INFO,nova.osapi_compute.wsgi.server,req-0018f1c0-4da4-4930-809c-bfd11c405d7d 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1759 time: 0.2577472",E5,"<*> <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
20,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:41:10.204,25746,INFO,nova.osapi_compute.wsgi.server,req-2dda6be4-a452-421a-b3fc-1316ce492c5a 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2581091",E5,"<*> <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
21,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:41:10.484,25746,INFO,nova.osapi_compute.wsgi.server,req-9ed48ea0-fe8d-44ba-bf20-d70d7b8c66ed 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2760019",E5,"<*> <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
22,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:41:30.493,25746,INFO,nova.osapi_compute.wsgi.server,req-b9eff277-d0b9-493a-a9fa-2e3c1f91964b 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1910 time: 0.2743289",E5,"<*> <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
23,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:41:30.735,25746,INFO,nova.osapi_compute.wsgi.server,req-eeb0a233-a666-46da-a5bf-90ff49056023 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1910 time: 0.2377138",E5,"<*> <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
24,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:41:53.682,25746,INFO,nova.osapi_compute.wsgi.server,req-07050bf0-1776-4733-ab37-cd073d9f6dd3 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2633202",E5,"<*> <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
25,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:41:53.946,25746,INFO,nova.osapi_compute.wsgi.server,req-3355ee36-5bc1-44de-ac58-bea5b14bad3c 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2616019",E5,"<*> <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
26,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:42:34.096,25746,INFO,nova.osapi_compute.wsgi.server,req-1aaa1445-83a9-459f-8e63-d76923594d67 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2570140",E5,"<*> <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
27,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:42:34.368,25746,INFO,nova.osapi_compute.wsgi.server,req-afaaf24d-b231-4586-a389-e296ffc5a73f 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2684481",E5,"<*> <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
28,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:42:37.198,25746,INFO,nova.osapi_compute.wsgi.server,req-7867b714-8ca2-4c22-898c-e1cbbd674efe 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2686861",E5,"<*> <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
29,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:42:37.481,25746,INFO,nova.osapi_compute.wsgi.server,req-8bdc126c-3e15-4544-a235-49b57e32df94 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2771580",E5,"<*> <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
30,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:43:14.484,25746,INFO,nova.osapi_compute.wsgi.server,req-806c9d6e-5bc8-40ca-b22a-47107c5a0181 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1759 time: 0.2798910",E5,"<*> <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
31,nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:43:14.712,2931,INFO,nova.compute.manager,-,[instance: e15ce82b-f229-4c22-9fc3-8d30dd349cf6] VM Stopped (Lifecycle Event),E0,<*> VM <*> (Lifecycle Event)
32,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:43:14.748,25746,INFO,nova.osapi_compute.wsgi.server,req-2828c3e1-4632-41d4-9234-783263f29aff 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1759 time: 0.2593288",E5,"<*> <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
33,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:43:25.262,25746,INFO,nova.osapi_compute.wsgi.server,req-56c54c70-66f9-4f1c-a828-0737ce3f8401 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2791650",E5,"<*> <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
34,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:43:25.537,25746,INFO,nova.osapi_compute.wsgi.server,req-4dd3162b-0a85-4db9-9a58-3cd609623740 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2704940",E5,"<*> <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
35,nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:43:25.890,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): checking,E1,image <*> at <*> checking
36,nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:43:25.891,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,"image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): in use: on this node 1 local, 0 on other nodes sharing this instance storage",E17,"image <*> at <*> in use: on this node <*> local, <*> on other nodes sharing this instance storage"
37,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:44:13.560,25746,INFO,nova.osapi_compute.wsgi.server,req-6b777870-0fe5-4ed0-83af-0e26756af6bd 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2759500",E5,"<*> <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
38,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:44:13.842,25746,INFO,nova.osapi_compute.wsgi.server,req-27e77fae-4179-4534-a0af-8469a6bb9982 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2770460",E5,"<*> <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
39,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:44:15.118,25746,INFO,nova.osapi_compute.wsgi.server,req-f9725290-4cff-46c6-87c0-f112d37a7995 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1910 time: 0.2697659",E5,"<*> <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
40,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:44:15.381,25746,INFO,nova.osapi_compute.wsgi.server,req-b829ca2e-0d50-487a-9c8b-5a180e6a998f 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1910 time: 0.2589121",E5,"<*> <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
41,nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:44:35.053,2931,INFO,nova.compute.claims,req-032f4e41-9c1a-4dd7-ab3b-bb8368aa5bd1 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: 5683e2e2-d5e0-48b8-9f30-a2216254e851] Attempting claim: memory 2048 MB, disk 20 GB, vcpus 1 CPU",E18,"<*> Attempting claim: memory <*> MB, disk <*> GB, vcpus <*> CPU"
42,nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:44:35.054,2931,INFO,nova.compute.claims,req-032f4e41-9c1a-4dd7-ab3b-bb8368aa5bd1 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: 5683e2e2-d5e0-48b8-9f30-a2216254e851] Total memory: 64172 MB, used: 512.00 MB",E20,"<*> Total memory: <*> MB, used: <*> MB"
43,nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:44:35.055,2931,INFO,nova.compute.claims,req-032f4e41-9c1a-4dd7-ab3b-bb8368aa5bd1 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: 5683e2e2-d5e0-48b8-9f30-a2216254e851] memory limit: 96258.00 MB, free: 95746.00 MB",E21,"<*> memory limit: <*> MB, free: <*> MB"
44,nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:44:35.056,2931,INFO,nova.compute.claims,req-032f4e41-9c1a-4dd7-ab3b-bb8368aa5bd1 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: 5683e2e2-d5e0-48b8-9f30-a2216254e851] Total disk: 15 GB, used: 0.00 GB",E22,"<*> Total disk: <*> GB, used: <*> GB"
45,nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:44:35.056,2931,INFO,nova.compute.claims,req-032f4e41-9c1a-4dd7-ab3b-bb8368aa5bd1 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: 5683e2e2-d5e0-48b8-9f30-a2216254e851] disk limit not specified, defaulting to unlimited",E23,"<*> <*> limit not specified, defaulting to unlimited"
46,nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:44:35.057,2931,INFO,nova.compute.claims,req-032f4e41-9c1a-4dd7-ab3b-bb8368aa5bd1 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: 5683e2e2-d5e0-48b8-9f30-a2216254e851] Total vcpu: 16 VCPU, used: 0.00 VCPU",E24,"<*> Total vcpu: <*> VCPU, used: <*> VCPU"
47,nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:44:35.058,2931,INFO,nova.compute.claims,req-032f4e41-9c1a-4dd7-ab3b-bb8368aa5bd1 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: 5683e2e2-d5e0-48b8-9f30-a2216254e851] vcpu limit not specified, defaulting to unlimited",E23,"<*> <*> limit not specified, defaulting to unlimited"
48,nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:44:35.090,2931,INFO,nova.compute.claims,req-032f4e41-9c1a-4dd7-ab3b-bb8368aa5bd1 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: 5683e2e2-d5e0-48b8-9f30-a2216254e851] Claim successful,E11,<*> Claim successful
49,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:44:35.135,25746,INFO,nova.osapi_compute.wsgi.server,req-b51c7199-6884-4e72-9fb1-a698cad04f11 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1575 time: 0.1800351",E5,"<*> <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
50,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:44:35.342,25746,INFO,nova.osapi_compute.wsgi.server,req-6fff45f2-d728-44de-9b0a-8a6bc514a533 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/5683e2e2-d5e0-48b8-9f30-a2216254e851 HTTP/1.1"" status: 200 len: 1708 time: 0.2030251",E5,"<*> <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
51,nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:44:35.707,2931,INFO,nova.virt.libvirt.driver,req-032f4e41-9c1a-4dd7-ab3b-bb8368aa5bd1 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: 5683e2e2-d5e0-48b8-9f30-a2216254e851] Creating image,E12,<*> Creating image
52,nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:44:47.079,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): checking,E1,image <*> at <*> checking
53,nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:44:47.080,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,"image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): in use: on this node 1 local, 0 on other nodes sharing this instance storage",E17,"image <*> at <*> in use: on this node <*> local, <*> on other nodes sharing this instance storage"
54,nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:44:47.285,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,Active base files: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,E14,Active base files: <*>
55,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:44:47.540,25746,INFO,nova.osapi_compute.wsgi.server,req-509c11ea-c169-462a-b6b3-80293f9d4966 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2706451",E5,"<*> <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
56,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:44:47.804,25746,INFO,nova.osapi_compute.wsgi.server,req-e363f852-8f4c-4bf7-a8ab-891b00d87a27 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2610590",E5,"<*> <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
57,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:44:54.182,25746,INFO,nova.osapi_compute.wsgi.server,req-69074ea8-32f0-495d-833a-b62485658d2b 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2568841",E5,"<*> <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
58,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:45:12.002,25740,INFO,nova.osapi_compute.wsgi.server,req-61046ba0-7e98-4f08-82d4-103a9d5ab2f7 d16a600c5e2a47fe98aee00ee4cb9743 e9746973ac574c6b8a9e8857f56a7608 - - -,"10.11.10.2 ""GET /v2/e9746973ac574c6b8a9e8857f56a7608/images/0673dd71-34c5-4fbb-86c4-40623fbe45b4 HTTP/1.1"" status: 200 len: 868 time: 0.3222260",E5,"<*> <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
59,nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:46:21.376,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): checking,E1,image <*> at <*> checking
60,nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:46:21.377,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,"image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): in use: on this node 1 local, 0 on other nodes sharing this instance storage",E17,"image <*> at <*> in use: on this node <*> local, <*> on other nodes sharing this instance storage"
61,nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:46:21.559,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,Active base files: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,E14,Active base files: <*>
